Latitude,Longitude,Address,Property_type,Rooms,Home_size,Lot Size,Year_built,Parcel_number,RealtyID,County,Subdivision,Census,Tract,Lot,Zoning,Date,Sale_price,Estimated Value,url,zoning
34.197179999999996,-118.58511399999999,20728 Hart St,Single Family Residence,"4 beds, 3 baths","1,627 sqft","7,569 sqft",1954.0,2137024002,1110730046,Los Angeles,14756,1.0,134002.0,108,LARS,09/16/2020,"$515,000","$657,000",https://www.realtytrac.com/property/ca/winnetka/91306/20728-hart-st/11310114/,LARS
33.962416,-118.435271,7912 W 79th St,Single Family Residence,"3 beds, 3 baths","2,527 sqft","5,002 sqft",1963.0,4115029019,1110730059,Los Angeles,9809,1.0,276601.0,3,LAR1,09/16/2020,"$1,910,000","$1,875,000",https://www.realtytrac.com/property/ca/playa-del-rey/90293/7912-w-79th-st/154500885/,LAR1
33.855916,-118.143801,5439 Pimenta Ave,Single Family Residence,"2 beds, 1 bath",810 sqft,"5,152 sqft",1950.0,7159017010,1110730549,Los Angeles,14592,1.0,570701.0,377,LKR1YY,09/16/2020,"$615,000","$592,000",https://www.realtytrac.com/property/ca/lakewood/90712/5439-pimenta-ave/52972955/,LKR1YY
34.611034000000004,-118.185088,40106 Castana Ln,Single Family Residence,"3 beds, 2 baths","2,019 sqft","7,715 sqft",1991.0,3001074023,1110731287,Los Angeles,46784,1.0,910210.0,58,LCA210-A22*,09/16/2020,"$465,000","$448,000",https://www.realtytrac.com/property/ca/palmdale/93551/40106-castana-ln/45851651/,LCA210-A22*
34.046803000000004,-118.350104,1445 S Redondo Blvd,Single Family Residence,"3 beds, 2 baths","1,437 sqft","6,359 sqft",1925.0,5070015038,1110732332,Los Angeles,1740,2.0,217100.0,37,LARD1.5,09/16/2020,"$950,000","$998,000",https://www.realtytrac.com/property/ca/los-angeles/90019/1445-s-redondo-blvd/19925313/,LARD1.5
34.192614,-118.36254699999999,6716 Clybourn Ave # 122,Condominium,"2 beds, 1 bath",903 sqft,5.65 acres,1982.0,2412031106,1110733607,Los Angeles,37718,1.0,123103.0,2,LARD1.5,09/16/2020,"$413,000","$320,000",https://www.realtytrac.com/property/ca/north-hollywood/91606/6716-clybourn-ave-122/43993710/,LARD1.5
33.987773,-118.29601799999999,1201 W 59th St,Single Family Residence,"3 beds, 1 bath","1,667 sqft","4,922 sqft",1912.0,6003007016,1110734023,Los Angeles,1266,1.0,237201.0,121,LAR2,09/16/2020,"$645,000","$442,000",https://www.realtytrac.com/property/ca/los-angeles/90044/1201-w-59th-st/24491263/,LAR2
33.833614000000004,-118.34388799999999,3305 Onrado St,Single Family Residence,"3 beds, 2 baths","1,333 sqft","5,760 sqft",1955.0,7362005021,1110734477,Los Angeles,18747,3.0,650401.0,143,TORR-LO,09/16/2020,"$835,000","$891,000",https://www.realtytrac.com/property/ca/torrance/90503/3305-onrado-st/27075619/,TORR-LO
33.832941999999996,-118.360141,21517 Ladeene Ave,Single Family Residence,"6 beds, 2 baths","1,560 sqft","5,401 sqft",1956.0,7525019015,1110734503,Los Angeles,21676,2.0,650701.0,369,TORR-LO,09/16/2020,"$1,030,000","$1,040,000",https://www.realtytrac.com/property/ca/torrance/90503/21517-ladeene-ave/154914861/,TORR-LO
34.17727,-118.45886599999999,5851 Saloma Ave,Single Family Residence,"3 beds, 2 baths","1,274 sqft","6,752 sqft",1950.0,2243015023,1110734945,Los Angeles,16379,3.0,128400.0,71,LAR1,09/16/2020,"$775,000","$818,000",https://www.realtytrac.com/property/ca/van-nuys/91411/5851-saloma-ave/22380207/,LAR1
33.949375,-118.202627,9317 San Juan Ave,Single Family Residence,"2 beds, 1 bath",897 sqft,"4,839 sqft",1941.0,6203002030,1110735308,Los Angeles,5280,1.0,535804.0,963,SGR3YY,09/16/2020,"$420,000","$405,000",https://www.realtytrac.com/property/ca/south-gate/90280/9317-san-juan-ave/52964368/,SGR3YY
34.030584000000005,-118.307492,2706 S Hobart Blvd,Single Family Residence,"5 beds, 3 baths","2,275 sqft","6,650 sqft",1905.0,5053013002,1110735814,Los Angeles,HALL CHAS VICTOR TR,2.0,222200.0,2,LAR1,09/16/2020,"$750,000","$854,000",https://www.realtytrac.com/property/ca/los-angeles/90018/2706-s-hobart-blvd/154633666/,LAR1
34.072026,-118.306339,158 S Serrano Ave,Single Family Residence,"3 beds, 2 baths","1,875 sqft","8,026 sqft",1908.0,5517012012,1110736597,Los Angeles,HOLMES-WALTON COS WESTMINSTER,2.0,211410.0,12,LAR1,09/16/2020,"$1,150,000","$1,146,000",https://www.realtytrac.com/property/ca/los-angeles/90004/158-s-serrano-ave/44870536/,LAR1
