latitude,longitude,address,property_type,home_size,lot_size,year_built,parcel_number,realtyID,county,subdivision,census,tract,lot,zoning,date,sale_price,estimated_value,sex_offenders,crime_index,enviornmental_hazards,natural_disasters,school_quality,url,bedrooms,bathrooms
34.084195,-118.277524,933 Robinson St,Single Family Residence,2815.0,3397.0,2017.0,5426010008.0,1114349011.0,Los Angeles,5012,1.0,195803.0,30,LAR2,2013-06-10,170000.0,1547000.0,11.0,Slightly High,5.0,1.0,Above Average,https://www.realtytrac.com/property/ca/los-angeles/90026/933-robinson-st/208538301/,3.0,4.0
34.094642,-118.362049,7909 Fountain Ave,Single Family Residence,1516.0,3108.0,1923.0,5554002011.0,1114349016.0,Los Angeles,CRESCENT HEIGHTS,1.0,700200.0,15,WDR4,2019-07-17,2800000.0,1503000.0,1.0,Slightly High,9.0,1.0,Above Average,https://www.realtytrac.com/property/ca/west-hollywood/90046/7909-fountain-ave/13325532/,3.0,2.0
34.034321000000006,-118.52178899999998,14924 Camarosa Dr,Single Family Residence,6519.0,2526480.0,1929.0,4411022017.0,1114349017.0,Los Angeles,9377,2.0,262706.0,19,LARE11,2018-04-02,11625000.0,,1.0,Moderate,3.0,1.0,Excellent,https://www.realtytrac.com/property/ca/pacific-palisades/90272/14924-camarosa-dr/154580595/,4.0,5.0
34.18088,-118.41134699999999,6048 Goodland Ave,Single Family Residence,1535.0,7124.0,1948.0,2332027004.0,1114349488.0,Los Angeles,12861,3.0,123700.0,15,LAR1,1994-07-19,63090.0,885400.0,8.0,Low,4.0,1.0,Average,https://www.realtytrac.com/property/ca/north-hollywood/91606/6048-goodland-ave/2900372/,2.0,2.0
34.094716999999996,-118.361851,1307 N Fairfax Ave,Single Family Residence,1020.0,3451.0,1922.0,5554002009.0,1114349489.0,Los Angeles,CRESCENT HEIGHTS,1.0,700200.0,15,WDR4,2019-07-17,2800000.0,1410000.0,3.0,Slightly High,9.0,1.0,Above Average,https://www.realtytrac.com/property/ca/west-hollywood/90046/1307-n-fairfax-ave/52186603/,2.0,1.0
34.146429,-118.357955,10424 Valley Spring Ln,Single Family Residence,4487.0,21572.0,1951.0,2424038008.0,1114304700.0,Los Angeles,14840,1.0,143100.0,241,LAR1,2020-12-31,3800000.0,2584000.0,2.0,,2.0,1.0,Above Average,https://www.realtytrac.com/property/ca/toluca-lake/91602/10424-valley-spring-ln/40210370/,5.0,8.0
34.607944,-118.13288899999999,218 Joseph Ln,Condominium,1443.0,5880600.0,1979.0,3005031076.0,1114304731.0,Los Angeles,25737,1.0,910201.0,,PDRPD12U,2020-12-31,320000.0,291500.0,0.0,Moderate,3.0,1.0,Average,https://www.realtytrac.com/property/ca/palmdale/93551/218-joseph-ln/40193863/,2.0,3.0
34.146355,-117.90198500000001,511 E Desert Willow Rd,Single Family Residence,3614.0,7031.0,2014.0,8625045003.0,1114304838.0,Los Angeles,,2.0,400604.0,3,Lot:3,2020-12-31,968000.0,1181000.0,2.0,Moderate,4.0,1.0,Average,https://www.realtytrac.com/property/ca/azusa/91702/511-e-desert-willow-rd/249232290/,6.0,6.0
33.93691,-118.144598,11824 Pruess Ave,Single Family Residence,1076.0,5848.0,1950.0,6247013001.0,1114304839.0,Los Angeles,15734,2.0,551402.0,62,DOR15000,2020-12-31,624000.0,624300.0,8.0,Moderate,4.0,2.0,Above Average,https://www.realtytrac.com/property/ca/downey/90241/11824-pruess-ave/46024959/,3.0,1.0
34.041149,-118.55548799999998,17337 Tramonto Dr # 106,Condominium,1252.0,7318080.0,1965.0,4416023033.0,1114304892.0,Los Angeles,29827,3.0,262604.0,,LARD2,2020-12-31,708000.0,1010000.0,1.0,Moderate,8.0,2.0,Excellent,https://www.realtytrac.com/property/ca/pacific-palisades/90272/17337-tramonto-dr-106/149243559/,1.0,2.0
34.04116,-118.25111000000001,315 E 8th St # 404,Condominium,640.0,7339.0,1925.0,5145003038.0,1114304893.0,Los Angeles,53872,1.0,226002.0,3,LAM2,2020-12-31,422000.0,546600.0,136.0,Slightly High,14.0,1.0,Average,https://www.realtytrac.com/property/ca/los-angeles/90014/315-e-8th-st-404/30446870/,1.0,1.0
34.041284000000005,-118.284906,1818 Arapahoe St,Apartment house (5+ units),2730.0,7520.0,1949.0,5056011014.0,1114304923.0,Los Angeles,CORRECTED MAP OF THE SUB,2.0,221120.0,31,LARD1.5,2020-12-31,865000.0,876000.0,19.0,Slightly High,12.0,1.0,Poor,https://www.realtytrac.com/property/ca/los-angeles/90006/1818-arapahoe-st/154635981/,,
34.01938,-118.108453,1006 Michelle Ct,Planned Unit Development (PUD),1947.0,983.0,1981.0,5294020018.0,1114305249.0,Los Angeles,41224,1.0,530006.0,18,MNR4,2020-12-31,545000.0,522000.0,17.0,Moderate,5.0,1.0,Average,https://www.realtytrac.com/property/ca/montebello/90640/1006-michelle-ct/154610892/,4.0,3.0
34.178767,-118.511574,17348 Tiara St,Single Family Residence,1282.0,5600.0,1949.0,2254030018.0,1114305251.0,Los Angeles,15346,3.0,139001.0,394,LAR1,2020-12-31,800000.0,957700.0,3.0,,4.0,1.0,Average,https://www.realtytrac.com/property/ca/encino/91316/17348-tiara-st/141447263/,3.0,1.0
34.475453,-118.534768,28908 Canyon Oak Pl,Single Family Residence,2676.0,6217.0,2001.0,3244112007.0,1114305329.0,Los Angeles,46564-02,1.0,920015.0,34,SCUR2,2020-12-31,832500.0,927000.0,0.0,Low,3.0,1.0,Excellent,https://www.realtytrac.com/property/ca/santa-clarita/91390/28908-canyon-oak-pl/39900958/,4.0,3.0
33.844590000000004,-118.07860900000001,20419 Seine Ave,Single Family Residence,1302.0,5501.0,1955.0,7058004015.0,1114305401.0,Los Angeles,19727,1.0,555102.0,15,LKR1YY,2020-12-31,630000.0,701700.0,10.0,Moderate,6.0,2.0,Average,https://www.realtytrac.com/property/ca/lakewood/90715/20419-seine-ave/140018458/,3.0,2.0
34.194638,-118.41623200000001,13006 Hartland St,Single Family Residence,2120.0,6594.0,1963.0,2327025002.0,1114305430.0,Los Angeles,27000,1.0,123420.0,2,LAR1,2020-12-31,896000.0,971800.0,9.0,,11.0,1.0,Average,https://www.realtytrac.com/property/ca/north-hollywood/91605/13006-hartland-st/26315290/,4.0,2.0
33.970582,-118.411148,7711 Westlawn Ave,Single Family Residence,1560.0,6180.0,1949.0,4112023003.0,1114305453.0,Los Angeles,1384,2.0,276400.0,3,LAR1,1984-01-10,135000.0,1433000.0,3.0,Slightly High,4.0,1.0,Average,https://www.realtytrac.com/property/ca/los-angeles/90045/7711-westlawn-ave/154499858/,6.0,3.0
34.203833,-118.58744399999999,20832 Valerio St # 14,Condominium,1559.0,14157000.0,1996.0,2113013080.0,1114305465.0,Los Angeles,50981,2.0,134002.0,1,LARD2,2020-12-31,607000.0,419900.0,9.0,,7.0,1.0,Average,https://www.realtytrac.com/property/ca/canoga-park/91306/20832-valerio-st-14/149225595/,3.0,3.0
34.184419,-118.374369,6246 Fair Ave,Single Family Residence,1011.0,7236.0,1948.0,2336023003.0,1114305478.0,Los Angeles,14024,1.0,124201.0,3,LAR1,2020-12-31,714000.0,651100.0,11.0,Low,4.0,1.0,Average,https://www.realtytrac.com/property/ca/north-hollywood/91606/6246-fair-ave/154411143/,2.0,1.0
33.937957,-118.34685,4118 Lennox Blvd,Single Family Residence,2022.0,4907.0,1928.0,4035011025.0,1114305667.0,Los Angeles,HAWTHORNE ACRES,2.0,601700.0,168,LCR2YY,1994-06-08,111500.0,699400.0,13.0,Moderately High,8.0,1.0,Average,https://www.realtytrac.com/property/ca/inglewood/90304/4118-lennox-blvd/154485095/,4.0,3.0
