latitude,longitude,home_size,lot_size,zoning,sex_offenders,crime_index,enviornmental_hazards,school_quality,bedrooms,bathrooms,sale_price,date,sale_price_cpi,age,neighborhood
33.947648,-118.02168,1174.0,6340.0,WHR1YY,6.0,Moderate,2.0,Above Average,3.0,1.0,630000.0,2020-11-30,794.9003386018737,69.0,Whittier
34.098806,-118.077171,938.0,7635.0,LCA1YY,3.0,Low,10.0,Above Average,2.0,1.0,589999.9999999999,2020-11-30,769.251608581746,75.0,Missing
34.395985,-118.559801,1324.0,4863.0,SCUR1,1.0,Low,4.0,Excellent,4.0,2.0,620000.0,2020-11-30,788.5663704206712,42.0,Santa Clarita
34.558196,-118.020251,1305.0,8505.0,PDSFR-3,1.0,Moderate,2.0,Average,3.0,2.0,334999.99999999994,2020-11-30,579.6486260283652,26.0,Missing
33.907828,-118.06372,1200.0,5457.0,NOR105,11.0,Moderate,13.0,Average,3.0,2.0,575000.0,2020-11-30,759.4100313264172,64.0,Norwalk
34.049336,-118.19363,1032.0,4800.0,LAR2,22.0,Slightly High,7.0,Average,2.0,1.0,430000.0,2020-11-30,656.7145447532929,98.0,Boyle Heights
33.979903,-118.379207,3081.0,9505.0,LCR1YY,8.0,Slightly High,7.0,Poor,4.0,4.0,2155000.0,2020-11-30,1470.1648820210935,56.0,Ladera Heights
34.084296,-118.04409,1468.0,10212.0,EMR1A,5.0,Moderate,12.0,Above Average,5.0,1.0,505000.0,2020-11-30,711.6854652320736,70.0,El Monte
33.899413,-118.140728,2458.0,6110.0,BFR15000,9.0,Moderate,5.0,Above Average,4.0,2.0,600000.0,2020-11-30,775.7432984283822,60.0,Bellflower
33.963799,-118.432989,2835.0,5475.0,LAR1,0.0,Moderate,4.0,Average,3.0,3.0,1770000.0,2020-11-30,1332.3828698676712,53.0,Playa del Rey
34.004159,-118.164895,761.0,3147.0,CMR1YY,1.0,High,15.5,Average,2.0,1.0,459000.0,2020-11-30,678.4982783826779,73.0,Commerce
33.889268,-118.073919,676.0,2600.0,NOR1YY,21.0,Moderate,5.0,Average,2.0,1.0,250000.0,2020-11-30,500.7401459575225,67.0,Norwalk
33.789516,-118.185398,2049.0,6875.0,LBCH,22.0,Slightly High,11.0,Average,4.0,2.0,525000.0000000001,2020-11-30,725.6414107012347,99.0,Long Beach
34.089407,-117.943414,1035.0,7089.0,WCR17500,5.0,Low,7.0,Above Average,3.0,1.0,400000.00000000006,2020-11-30,633.3917508443707,67.0,West Covina
34.687521000000004,-118.120635,1440.0,6123.0,LRR6000,6.0,Moderate,2.0,Poor,3.0,2.0,300000.0000000001,2020-11-30,548.5333467787287,48.0,Lancaster
33.814544,-118.37426299999998,1684.0,6667.0,TORR-LO,1.0,Low,6.0,Excellent,3.0,2.0,1450000.0000000002,2020-11-30,1205.9419653891532,66.0,Torrance
34.052623,-118.19266,840.0,6080.0,LAR1,22.0,Slightly High,9.0,Average,2.0,1.0,700000.0,2020-11-30,837.8985276069952,70.0,Boyle Heights
34.16803400000001,-118.216514,2146.0,2287.0,GLR1-R,1.0,Low,2.0,Excellent,2.0,3.0,1000000.0,2020-11-25,1001.480291915045,30.0,Glendale
34.384803999999995,-118.583636,2531.0,6460.0,LCA25,0.0,Low,4.0,Excellent,4.0,3.0,790000.0,2020-11-25,890.135153965089,30.0,Stevenson Ranch
34.041048,-117.955832,1925.0,6268.0,LCA106,16.0,Moderate,7.0,Average,3.0,2.0,610000.0000000001,2020-11-25,782.1811125356382,65.0,West Puente Valley
34.643426,-118.207843,2912.0,14304.0,LRSRR,1.0,Moderate,2.0,Above Average,4.0,3.0,630000.0,2020-11-25,794.9003386018737,16.0,Lancaster
34.001027,-118.089717,1115.0,6156.0,PRSF,12.0,Moderate,12.0,Average,3.0,2.0,410000.0,2020-11-25,641.2602730472548,70.0,Pico Rivera
34.417448,-118.471694,1918.0,6461.0,SCUR2,4.0,Low,12.0,Above Average,5.0,2.0,555000.0,2020-11-25,746.0860139268832,59.0,Santa Clarita
33.995667,-118.439254,884.0,5948.0,LAR1,3.0,Slightly High,13.0,Excellent,2.0,1.0,1280000.0,2020-11-25,1133.0456090204984,96.0,Mar Vista
34.040613,-118.366499,1292.0,4823.0,LAR1,15.0,Slightly High,8.0,Average,2.0,2.0,1198999.9999999998,2020-11-25,1096.6094871639577,80.0,Mid-City
34.138727,-118.369439,2151.0,11253.0,LAR1,3.0,Low,6.0,Excellent,3.0,2.0,1950000.0,2020-11-25,1398.4911195405482,84.0,Studio City
34.213798,-118.378726,1044.0,6593.0,LAR1,15.0,Low,12.0,Average,3.0,2.0,630000.0,2020-11-25,794.9003386018737,66.0,Sun Valley
34.108186,-117.730525,1651.0,10245.0,CLRS10000,2.0,Low,4.0,Excellent,3.0,2.0,724999.9999999999,2020-11-25,852.729741444103,61.0,Claremont
33.937504,-118.261771,1058.0,5007.0,LAR2,22.0,Slightly High,8.0,Poor,2.0,1.0,874999.9999999999,2020-11-25,936.7990329881128,73.0,Green Meadows
33.796401,-118.280405,812.0,4991.0,LAR1,13.0,Moderate,15.0,Average,2.0,1.0,325000.0,2020-11-25,570.9316087813227,68.0,Wilmington
