parcel_number,date,price
2558002027,11/2/2020,8500000
2421035004,11/2/2020,8300000
2421035004,2/22/2019,7850000
2421035004,7/29/2015,40775000
2870005014,11/2/2020,8070000
2870005014,6/20/2000,3300000
2866015037,11/2/2020,6300000
2866015037,2/21/2018,5440000
2866015037,11/8/2002,3315000
2866015037,9/19/1990,2100000
4020006009,11/2/2020,9000000
4020006009,9/30/2005,5750000
4020006009,4/16/2003,1650000
4020006009,4/15/2003,740910
4020006009,3/26/1996,1200000
4020006009,10/31/1995,1955570
4020006009,6/19/1991,1790000
8049024004,11/2/2020,4850000
8049024004,9/28/1994,1250000
8049024004,3/1/1989,1190000
2056053041,11/2/2020,13400000
2056053041,2/11/1997,4625000
2809033060,11/2/2020,2850000
2809033060,5/18/1992,950000
2809033060,2/23/1989,725000
2468011050,11/2/2020,5810000
2468011050,12/29/2015,4400000
2468011050,8/2/2011,3050000
2468011050,1/25/2008,3975000
2468011050,11/14/2002,2410000
7543049014,11/2/2020,24500000
7543049014,8/9/1994,10100000
4277027059,11/2/2020,14950000
4277027059,7/30/2001,6281820
4277027059,10/31/1996,4400000
6074018003,11/2/2020,5950000
6074018003,9/18/1996,945000
6074018003,12/6/1988,1050000
7348003015,8/5/1988,2085000
2063034081,11/2/2020,8450000
2063034081,5/13/2010,6120000
2063034081,4/26/2006,9000000
6126022030,11/2/2020,6770000
7139018060,11/2/2020,4800000
7139018060,3/11/2013,3250000
3244102014,11/2/2020,7410000
3244102014,5/15/1995,2690000
3244102014,11/13/1992,3190000
7449013013,11/2/2020,5500000
8210024022,11/2/2020,4030000
5484008012,11/2/2020,5270000
5484008012,6/3/2015,3200000
5484008012,4/21/2004,2060000
5484008012,8/14/2003,1290000
5484008012,6/11/2002,1100000
5484008012,9/11/1990,900000
5431016014,11/2/2020,18250000
5431016014,2/16/2011,9360000
5431016014,4/19/1991,4790000
2068006118,11/2/2020,4850000
6103032043,11/2/2020,3650000
6103032043,9/28/2007,3065000
6103032043,10/5/2005,2708000
6103032043,8/22/1997,550000
6103032043,10/23/1989,990910
5081022030,11/2/2020,19800000
5081022030,9/24/2014,13000000
5081022030,10/31/2013,7790000
5081022030,3/31/1994,3100000
4342034102,11/2/2020,20500000
4342034102,4/6/2016,19500000
5575009008,11/2/2020,10410000
7204013027,11/2/2020,5790000
7204013027,10/31/2017,4700000
2078015027,10/28/2020,10850000
5144028070,11/2/2020,5250000
5144028070,10/1/2007,4880000
7218005026,9/23/1999,2150000
7218005026,11/4/1998,457000
2836073041,11/2/2020,5400000
2836073041,3/1/2012,2840000
2836073041,11/14/2007,4235000
5236023066,11/2/2020,3900000
5236023066,5/29/2013,2620000
8665028026,11/2/2020,8520000
8665028026,5/22/2015,5910000
8665028026,6/14/2002,3050000
8665028026,5/15/1989,2500000
4382029166,11/2/2020,27000000
4382029166,5/19/2003,12500000
4382029166,8/31/1999,9500000
7353002024,11/2/2020,9950000
7353002024,2/1/2013,5500000
7353002024,7/17/1996,2185000
7353002024,9/1/1994,1910000
7511005020,11/2/2020,26150000
7511005020,5/17/2017,17500000
2802002022,11/4/2020,7300000
2802002022,11/4/2020,7460000
2802002022,11/2/2020,7335000
2802002022,10/30/2020,7635000
7431027032,11/2/2020,6400000
7431027032,12/5/1997,2600000
7431027032,10/15/1997,135670
7431027032,6/19/1995,1650000
2217032049,11/2/2020,5550000
2217032049,3/17/2017,4450000
8492007011,11/2/2020,8085000
8492007011,7/14/1993,2500000
2476009009,11/2/2020,6000000
2476009009,1/7/2002,1568180
5113026020,11/2/2020,3230000
5791009007,11/2/2020,5285000
5791009007,11/1/2004,4300000
5791009007,10/26/1999,1900000
5791009007,11/29/1988,2000000
2679005010,11/2/2020,7750000
2660010010,11/2/2020,6350000
5092007067,11/2/2020,11700000
5092007067,9/29/2017,10291000
8327005042,11/2/2020,3900000
8327005042,8/28/2014,2800000
8327005042,2/9/1990,1250000
8110005026,11/2/2020,7050000
8110005026,5/20/2016,1000000
5743029005,11/2/2020,8250000
5743029005,3/30/2007,5800000
2810061073,11/2/2020,5580000
2810061073,5/27/2010,3440000
2810061073,5/26/2005,4950000
2810061073,8/19/2002,3050000
8211016003,11/2/2020,9780000
8211016003,4/20/2004,5400000
4320010034,11/2/2020,18750000
4320010034,8/19/2005,10500000
4320010034,6/7/2001,5900000
4320010034,7/14/2000,3750000
3124020001,11/2/2020,3000000
3124020001,4/22/2011,1250000
3124020001,3/1/2005,2900000
3124020001,8/1/2002,1550000
3124020001,3/9/1998,920000
3124020001,3/28/1989,170000
5302010049,11/2/2020,5990000
5302010049,7/13/2015,4450000
5302010049,12/15/2011,2780000
5302010049,8/19/2005,4990000
5302010049,1/2/1992,1650000
2014018019,11/2/2020,7050000
2014018019,11/20/2014,4400000
7409026009,11/2/2020,3250000
7409026009,3/9/2004,200000
2069029047,11/2/2020,23350000
2069029047,4/15/2014,18750000
2069029047,7/23/1996,8450000
2701089008,11/2/2020,20040000
5644015083,11/2/2020,5810000
5644015083,5/16/2007,4690000
5644015083,11/13/1998,1550000
5644015083,2/4/1992,1850000
8577019012,11/2/2020,6600000
8577019012,1/7/2003,
8577019012,9/2/1999,1700000
2504010043,11/2/2020,14140000
2504010043,8/12/2011,2900000
8625022067,11/2/2020,5430000
5313010038,11/2/2020,7400000
5313010038,7/31/2008,5000000
5313010038,4/1/2005,4000000
2854028050,11/2/2020,6250000
2020031026,11/2/2020,9950000
2020031026,9/15/1993,3575000
3208026052,11/2/2020,4500000
3208026052,5/4/2001,1740000
8170015010,11/2/2020,4250000
2285005038,11/2/2020,20250000
2285005038,10/30/2020,20000000
2285005038,7/30/1997,4800000
5066009019,11/2/2020,17200000
5066009019,6/4/2009,6100000
4423020010,11/2/2020,32980000
4423020010,2/14/2003,13400000
4423020010,8/23/2000,12500000
4423020010,2/26/1999,4900000
2146043021,11/2/2020,4150000
2146043021,11/19/2014,3430000
2146043021,3/21/2013,3100000
2146043021,7/2/2010,2850000
6357030034,11/2/2020,4325000
6357030034,7/10/1998,930000
